|time|user|text
1|26.11.2019 23:15:11|Винсан|Хрякрисёч.pdf
2|26.11.2019 23:18:22|Harry Lime|Да , все верно , сайт энгри андер констракшн до декабря , сейчас поищу у себя
4|26.11.2019 23:19:09|Harry Lime|Инджой
5|26.11.2019 23:21:34|Винсан|Сэнкс
6|26.11.2019 23:32:36|Ярослав|Ктонибудь разбирал подробно отчетность Шевченко Что за финансовые вложения на 550 млн В пояснителньой записке ничего не объясняется насчёт этого.
7|26.11.2019 23:33:22|Harry Lime|Уже было , разбирали
8|26.11.2019 23:33:56|Harry Lime|С ходу отвечу не на все, быстрые ответы следующие 6 Планов развития животноводства нет, так как в регионе монопольная ситуация на этом рынке, и компания видит в этом большие риски 3 Это доля участия в МанычАгро. На сегодняшний день этих финвложений нет, так как доля была продана 2 Кредит в РСХБ не просто в планах, а уже одобрен на кредитном комитете. С ним есть определенные сложности с управленческой точки зрения например, банк хочет золотую акцию, но переговоры продолжаются. В целом субсидии на технику получаются и нет планов по снижению их объемов
9|26.11.2019 23:34:08|Harry Lime|Пункт 3
11|26.11.2019 23:35:32|Ярослав|Понял. спасибо
13|27.11.2019 00:18:14|А что ты сделал для котэ!?|Мостотрест  ндфл 13
15|27.11.2019 06:39:20|Artem|похоже на то, спасибо
