|time|user|text
1|05.12.2018 08:54:54|Harry Lime|Отличный фильм, всем рекомендую к просмотру, а как поросятки слушают классическую музыку вообще милота.
2|05.12.2018 08:55:19|Andrey Hohrin|Про ответы и вопросы. Вопросы мы собрали. Ответы уже готовы. Нужно вычитать. Завтра будем отвечать. Так что  работаем
3|05.12.2018 08:57:35|Harry Lime|Производство действительно впечатляет , кто запускал производство с нуля поймет и оценит. Я правда больше по производствам , где свиньями становятся после потребления продукции.
6|05.12.2018 09:05:35|Сергей Ковалев|https//vk.com/wall23482909_1316859
7|05.12.2018 09:37:11|Максим Кочнев|Пока я не пойму куда мясничий дел 200 лямов в ОАЭ я зайду разве что пристроить немного денег на месяцдва. В понедельник и так продал 1/3 мясничего, остальные 2/3 тоже врядли надолго задержаться если инфа не прояснится
8|05.12.2018 09:43:14|Zuev Aleksandr|БАНКИ РФ ЦБ РФ поручил банкам тщательнее следить за строительными и торговыми компаниями банкирф
9|05.12.2018 09:44:52|Andrey Hohrin|Максим, если Вы не задали вопрос в чате Prononds Goldman Group  задайте. Если задали, то он точно учтён.
10|05.12.2018 09:45:28|Andrew|Спасибо
11|05.12.2018 09:46:19|Максим Кочнев|Он там есть в списке не мой но по теме
12|05.12.2018 09:46:56|Harry Lime|Ещё и Столичный лизинг размещает коммерческие облигации. Совпадение  Не думаю...
14|05.12.2018 09:48:14|Максим Кочнев|Что вы думаете про балтигранд Обещают чтото интересное
15|05.12.2018 09:50:15|Harry Lime|Я стараюсь больше не думать про лизинг , он уже в голове не помещается.
16|05.12.2018 09:54:13|Максим Кочнев|И я согласен. Если его и брать  то чтото из старого лизинга надо продавать, а для этого он должен ну прям очень сильно быть интереснее чем чтото из старого
17|05.12.2018 09:59:50|Harry Lime|БАНКИ РФ Fitch четыре крупных несистемных банка РФ не выполняли требований по надбавкам к капиталу в октябре. Московский Индустриальный Банк, УБРиР, Абсолют Банк и Восточный соблюдали минимальные требования, но не выполняли требования по надбавкам на индивидуальной основе по состоянию на конец октября. банкирф
18|05.12.2018 10:00:12|Harry Lime|Вот он наш Квартет И...
