|time|user|text
1|21.01.2019 14:13:24|J T|Ну меня в моей шараге учили, что предпринимательство тоже типа начало считаться фактором производства, не знаю, насколько они правы
2|21.01.2019 14:13:54|Harry Lime|Настраивайтесь на 100,5101
3|21.01.2019 14:14:02|Дмитрий Адамидов|ну это влажные мечты предпринимателей и парадигма такая была действительно. Илон Маск и всякое такое. Политика
4|21.01.2019 14:14:13|Александр Нечаев|Подскажите, а рпс на вторичке это считается биржевой сделкой Или внебиржевой
5|21.01.2019 14:14:15|J T|Согласен, логично
6|21.01.2019 14:14:29|Harry Lime|Биржевая , вторичка
7|21.01.2019 14:14:53|Svyatoslav Lebedev|Комиссия на сумму ниже 100000 руб.  45 руб., на сумму выше  0.045 от оборота сделки.
8|21.01.2019 14:18:09|J T|Но рпс же и на внебирже есть, нет
10|21.01.2019 14:22:35|Александр Нечаев|Если больше 100 тысяч, то эти ниже стандартной комиссии
11|21.01.2019 14:23:27|Андрей|Денис, а заявки, которые мы вам давали, они в книгу попадают Или в книге только мин 4млн лоты
12|21.01.2019 14:25:43|Denis Kozlov Septem|Все заявки, поданные в Книгу заявок, будут удовлетворены через РПС  и больше и меньше 4 млн руб. Это точно. Остается проблема с ВТБ  они отказываются ставить адресные заявки в РПС на вторичке. Только первичку. Сейчас ведем с ними переговоры, до конца дня сообщим результат. Остальные брокеры делают адресные заявки без проблем.
13|21.01.2019 14:27:29|Андрей|Спасибо Тогда ждём скрипт, по возможности.
14|21.01.2019 14:29:46|Svyatoslav Lebedev|Так сказали клиентщики Открытия.
16|21.01.2019 14:33:16|Denis Kozlov Septem|В прошлый раз вебинары были бесплатные и видеозапись была бесплатной. Сейчас вебинар платный, но цена символическая. Я постараюсь, чтобы запись была доступна бесплатно.
17|21.01.2019 14:34:26|Svyatoslav Lebedev|Денис, спасибо Я, в любом случае, уже оплатил 100 руб.  просто обычно смотрю вебинары не в онлайне, а в записи.
20|21.01.2019 14:41:22|Giovanni Goudini|По номиналу
21|21.01.2019 14:42:43|Denis Kozlov Septem|Первичка от 4 млн руб.  по номиналу, вторичка в РПС у кого меньше 4 млн.  с небольшой премией. Сейчас разошлем скрипт для всех, кто подавал заявки в Книгу
28|21.01.2019 15:24:14|Harry Lime|Опа , 15 января Финавиа запросило раскрытие держателей по обоим выпускам
29|21.01.2019 15:27:19|Sergey Sidorov|Эх, добрый ты человек, бояринс
30|21.01.2019 15:30:05|Маргарита|А что это означает
31|21.01.2019 15:30:33|Harry Lime|Скорее всего об,явят ОСВО в самое ближайшее время.
34|21.01.2019 15:41:24|Маргарита|Что такое освоНовичок я
36|21.01.2019 15:43:12|Harry Lime|Участие  ну или хотя бы наблюдение со стороны в корпоративных процедурах  путь к повышению знания об облигациях.
39|21.01.2019 15:47:52|Nikolay Pavlov|Я думаю, они запросили чтобы обсуждать условия за спиной 25 воблов
41|21.01.2019 15:52:51|J T|В рпс через любого брокера модно выставляться кстати, Денис Или должны быть линии открыты у вас на него
42|21.01.2019 15:54:08|Harry Lime|Я тоже так думаю
43|21.01.2019 15:54:10|Denis Kozlov Septem|Любой брокер подойдет. Это через Биржу проходит. Взаимные отношения не нужны. Но мы исполним только те заявки, которые у нас есть в Книге.
44|21.01.2019 15:54:27|J T|Понял
45|21.01.2019 15:55:32|Harry Lime|Кейс ДД , классика жанра
48|21.01.2019 15:59:08|sveta|Скиньте ктонибудь лидеры роста м падения сегодня
49|21.01.2019 15:59:43|Harry Lime|НРД вестимо
51|21.01.2019 16:00:58|Ilya|Ну там срок сбора информации до 30, и они в принципе такое для аудита делают каждый год
52|21.01.2019 16:01:44|Harry Lime|Даты отличаются от предыдущих лет , это самоуспокоение.
53|21.01.2019 16:02:17|Ilya|Они вообще каждый год разные
57|21.01.2019 16:03:53|Harry Lime|Да , все уже запаслись , кто бумагами , кто попкорном
58|21.01.2019 16:07:32|Nikolay Pavlov|Зачем тогда они его попросили интересно
59|21.01.2019 16:07:55|Дмитрий Адамидов|На МФД хорошо было сказано по Ютейру обычное явление  чем ближе крах, тем больше планов генерит банкрот грядущий.
60|21.01.2019 16:08:32|Harry Lime|Ну если не хватает для контроля 1015 процентов , могут договориться с кемто крупным
61|21.01.2019 16:08:53|Alexey Z|Коллеги, а скрипты для брокера для покупки завтра Ломмастера через рпс на вторичке сегодня уже были в чате Чтото не увидел.
62|21.01.2019 16:09:07|Harry Lime|Второй за компанию скорее всего .
64|21.01.2019 16:09:45|Alexey Z|Спасибо. Значит ждемс...
65|21.01.2019 16:11:28|Denis Kozlov Septem|В 17 часов должен появится Регламент размещения от Биржи и сразу мы разошлем скрипт
66|21.01.2019 16:12:26|Alexey Z|Спасибо
67|21.01.2019 16:26:39|Alexey Z|Планы по размещениям дебютный выпуск АО ММЦБ  Акционерное общество Международный Медицинский Центр Обработки и Криохранения Биоматериалов входит в группу АО Институт стволовых клеток человека 25 января начинает размещение 1 выпуска биржевых облигаций  30 млн руб.  объем размещения  14,2 годовых  ставка 14 купонов  выплата купонов  ежеквартально  10 лет  срок обращения  1 год  оферта  организаторы  Универ, Фридом Финанс Пост информационный. Редакция канала не несет отвественности за результаты инвестиций в данные ценные бумаги.
68|21.01.2019 16:32:05|Kir|Самые длинные вдо
69|21.01.2019 16:32:28|Alex|Есть оферта и ладно
70|21.01.2019 16:34:57|Максим Кочнев|А что за Эмитент Жесть или сойдёт
71|21.01.2019 16:37:07|Harry Lime|Что такое 10 лет , по сравнению с вечностью в криокамере. Это же как Хана Соло заморозили в Империи наносит ответный удар
72|21.01.2019 16:37:42|Alex Petroff|Я был на их презентации на Мосбирже в Спб в прошлом году. На рынке они стоят крепко. База клиентов очень большая. Деньги есть. Но я не понял смысла выпуска. Основной тезис  хотим айпио, но после бондов. Считают свой бизнес недооцененным в России в сравнении с мировыми аналогами.
73|21.01.2019 16:38:29|Kir|Они его хотят продать за дорого, а за дорого не берут
75|21.01.2019 16:38:36|Максим Кочнев|Интересно будет посмотреть но если и брать то со стакана и при 14
76|21.01.2019 16:39:12|Harry Lime|Да , я тоже подумал взять полпроцента чисто по приколу.
77|21.01.2019 16:40:16|Denis Kozlov Septem|Не факт, что будет активный стакан, так как выпуск небольшой
78|21.01.2019 16:41:25|Максим Кочнев|Это да поэтому посмотрим
