|time|user|text
1|02.10.2018 12:14:52|Harry Lime|Там доха в пределах 11 процентов
3|02.10.2018 12:16:21|Alexander Kozhevnikov|У меня комиссия 0,04 от сделки
6|02.10.2018 12:17:52|Harry Lime|А где подвох в тарифе
7|02.10.2018 12:17:58|Alexander Kozhevnikov|Нигде...
9|02.10.2018 12:18:10|Harry Lime|А что за брокер
10|02.10.2018 12:18:16|Alexander Kozhevnikov|Альфа
15|02.10.2018 12:19:26|Harry Lime|Под Россию вполне можно подумать
16|02.10.2018 12:20:01|Alexander Kozhevnikov|Чисто брокерский счёт без иис  да
18|02.10.2018 12:21:01|Harry Lime|Грааль найден похоже...
19|02.10.2018 12:21:24|Alexander Kozhevnikov|Но я в оферте ещё не участвовал  поэтому не могу сказать точно так или нет
22|02.10.2018 12:23:43|Карим|Не аргумент. Любая компания никогда не подводила ровно до тех пор, кпока не подводит в первый раз
23|02.10.2018 12:25:00|Harry Lime|Посоветовать купить ОФЗ в таком случае не могу , так как в отличие от названных мной эмитентов , Минфин допускал дефолты в прошлом.
24|02.10.2018 12:26:09|Шура SiberianRanger|
25|02.10.2018 12:26:30|Ig|чкм плохи открытие/втб то же не большие комиссии
26|02.10.2018 12:26:55|Harry Lime|Нет , тут они действительно крохотные и удобные на мелких сделках
27|02.10.2018 12:27:08|Anton|втб если под санкции попадет наверняка будут проблемы с валютными инструментами
29|02.10.2018 12:27:56|Alexander Kozhevnikov|Псб готовились под санкции
30|02.10.2018 12:27:57|Harry Lime|Для валютных инструментов вполне можно использовать БКС или Финам.
31|02.10.2018 12:28:14|Alexander Kozhevnikov|Или иб и их прослойки
32|02.10.2018 12:28:52|Ig|а то что они поуши в русале не помешает им от валют отказаться
33|02.10.2018 12:30:20|Harry Lime|Да даже самому мелкому банчку помешает. И не важно в чем он сидит.
34|02.10.2018 12:43:53|Stanislav|день добрый. рсгфинанс облиги никто не держит  мне что то их настойчиво брокер навеливает. нет ли с ними подводных камней 
35|02.10.2018 12:44:35|Denis Kozlov Septem|Пионер погасился.
37|02.10.2018 12:48:47|Harry Lime|Я держу , камень там один , даже гора , Вексельберг называется
38|02.10.2018 12:49:19|Deleted Account|Отлегло
40|02.10.2018 12:49:29|Карим|Дорогие подписчики, можно выдохнуть. Пионерлизинг наконец разместил на ленте НРД сообщение о погашении коммерческих облигаций на 100 млн. руб. Это хорошая новость для рынка.  Двигаемся дальше.
41|02.10.2018 12:50:24|Карим|Есть чуть. Вексельберг не даст утонуть, думаю
42|02.10.2018 12:51:56|Harry Lime|Отличная логика, Худайнатов годами не даёт утонуть Нефтегазхолдингу.
43|02.10.2018 12:54:35|Stanislav|я вот и думаю попробовать ч
44|02.10.2018 12:55:13|Harry Lime|Вполне можно , там доха будет выше , чем пишет квик
46|02.10.2018 12:56:19|Stanislav|я вот идумаю прикупить чуток, доходность неплохая , ренова строится, а евреев потопить очень непросто 
47|02.10.2018 12:57:25|Harry Lime|Риски  стройка , в случае чего рестракт. Плюшки  погашение в 20м году, все что ниже номинала не облагается НДФЛ.
48|02.10.2018 12:59:33|Giovanni Goudini|Кидай 1300 тысяч и покупай пару валютных бондов
50|02.10.2018 13:00:39|Евгений Инвестор|Определитесь, на какой срок и могут ли эти деньги понадобиться внезапно.
51|02.10.2018 13:16:19|Harry Lime|Из валюты в таком случае рус 28 прекрасный вариант.
52|02.10.2018 13:16:53|Alexander Balezin|При таких вводных я бы начал с ОФЗ Чтонить короткое, например, 29011 Из плюсов ликвидность, надежность, защита от роста ставок, купоны не облагаются ндфл Дохть порядка 7,6 при условии сохранения ключевой ставки на текущем уровне в теч 9 мес Потом, когда осмотритесь, можно двигаться в сторону увеличения дюрации/кредит риска
53|02.10.2018 13:18:51|Harry Lime|Зачем то , с чем борется гн Онищенко , при участии коротких ОФЗ , вклады в банках под 7,8 процентов уже есть.
54|02.10.2018 13:19:13|Alexander Balezin|А как опыт наработаешь
55|02.10.2018 13:19:28|Harry Lime|ЛоМастер и ПЮДМ , только так
57|02.10.2018 13:19:48|Шура SiberianRanger|По хардкору 
58|02.10.2018 13:20:16|Harry Lime|В наше время , в нашем месте важно разбираться в жести...
59|02.10.2018 13:20:35|Giovanni Goudini|Купи нкхп или нмтп
61|02.10.2018 13:20:59|Ig|это какието преддефолтники
62|02.10.2018 13:21:24|Harry Lime|Купоны 1819, доха такая же
65|02.10.2018 13:41:11|Denis Kozlov Septem|Воу, полегче Ломастер стабильно работает. Скоро будут результаты за 3 квартал
66|02.10.2018 13:49:10|Kir|Нужно начинать с того есть ли у них завод Вот например у сибца есть 
67|02.10.2018 13:51:53|Harry Lime|Для любителей парадигмы  есть завод скоро Сибстекло 15 месячный купон прописан на 60 месяцев вперёд.
68|02.10.2018 14:16:27|Замполит Aleks Kib|Что за сибстекло\
70|02.10.2018 14:19:44|Giovanni Goudini|15 купон
71|02.10.2018 14:23:57|Harry Lime|Да
73|02.10.2018 14:27:28|Harry Lime|Там вообще покатуха , организатором на Русбондсе какое то время был указан Флай плэннинг. Сейчас убрали. Насколько я знаю это Юнисервиса проект. Но могу ошибаться.
75|02.10.2018 15:04:45|Евгений Инвестор|На 78 лет вполне можно этак 30 или даже 40 в акции / ETF на акции, например, Россия  США  Китай, 6070 в ОФЗ. Но тут надо отталкиваться от готовности рисковать еще, о которой данных нет.
76|02.10.2018 15:05:38|Шура SiberianRanger|QQQ на всю котлету D
77|02.10.2018 15:11:02|Harry Lime|Доллар на длинных сроках отлично себя чувствует, рус 28. Купон 12,75 налогов нет, переоценки нет.
78|02.10.2018 15:16:26|Krivdamelnik|Krivdamelnik УВ инвесторы подскажите плиз каков процент вывода ДС в день у брокеров в частности у СБзаранее спасибо
79|02.10.2018 15:17:48|Harry Lime|У БКС срочный вывод был 85 процентов кэша , сейчас не знаю
80|02.10.2018 15:19:01|©® @β|У Сбербанка, если это он, нет комиссии на вывод. Больше 500к в день требует подтверждения
81|02.10.2018 15:23:35|Krivdamelnik|А у сбербанка есть ограничение на вывод
82|02.10.2018 15:35:13|А что ты сделал для котэ!?|Это как Нельзя забрать у брокера собственные деньги
84|02.10.2018 15:38:33|K G|вы что не знали
85|02.10.2018 15:39:54|Harry Lime|Срочно и все сразу нельзя , я делаю обычный вывод , через 10 минут деньги на счете без ограничения
86|02.10.2018 15:40:11|Denis Kozlov Septem|У нас нет ограничений на вывод  есть деньги на брокерском счете  можно все вывести
87|02.10.2018 15:41:14|4joke|На спб альфа 30 с дивидендов берет
89|02.10.2018 15:41:40|Alexander Kozhevnikov|не путайсте ПСБ и Спб биржу 
90|02.10.2018 15:41:48|4joke|Ой
91|02.10.2018 15:42:13|Denis Kozlov Septem|Почему Уралсибто  Септем Капитал
92|02.10.2018 15:42:22|Alexander Kozhevnikov|а на спб  да альфа берет 30 с дивов и это не смотря на заполненную W8BEN
93|02.10.2018 15:42:40|4joke|Ну его на banki.ru пиарили
95|02.10.2018 15:43:35|Denis Kozlov Septem|С Уралсибом вообще всё очень туманно. Ввиду проблем со здоровьем у Когана никто не понимает, куда он будет двигаться в ближайшее время
97|02.10.2018 15:44:39|4joke|У альфы деньги мгновенно попадают на брокерский счёт и обратно. Брокерский счёт видно в интернет банке. У открытия не так, насколько я понял
98|02.10.2018 15:46:18|Harry Lime|Российский брокер берет 30 процентов с дивов иностранных бумаг , этож ппц , товарищ мне говорил что у него IB снял 30 с купона по бондам и я ему верю .
99|02.10.2018 15:46:58|Alexander Kozhevnikov|ну смотрите... по идее W8BEN раскрывает номинального держателя перед штатами альфа, судя по всему, этого не делают... поэтому налог 30
101|02.10.2018 15:47:34|Harry Lime|На йух
102|02.10.2018 15:48:14|Alexander Kozhevnikov|поэтому спб у меня в открывашке
104|02.10.2018 15:52:23|4joke|А как переводить на брокерский счёт в открывашке
105|02.10.2018 15:52:35|Alexander Kozhevnikov|да банковским переводом с тинька
107|02.10.2018 15:55:16|4joke|А валюту Вносить через кассу и из интернет банка открытия
108|02.10.2018 15:55:29|Alexander Kozhevnikov|а зачем валюту вносить
113|02.10.2018 15:57:44|4joke|Я в альфе уже купил немного.
114|02.10.2018 15:58:32|Alexander Kozhevnikov|а... ну тогда стоит позвонить своему консультанту но ни в коем случае не делать валютный перевод  это дикая комиссия
117|02.10.2018 16:03:58|А что ты сделал для котэ!?|Если во время обычного вывода деньги через 10 мин на счете  что такое срочный  Я из Альфы на счёт в альфе выводил  никаких ограничений не было Можно было бы и на любой другой счёт в любом банке, тоже без ограничений  но у меня деньги в валюте были Вообще ограничение на вывод  как то странно
118|02.10.2018 16:04:51|Alexander Kozhevnikov|ну условно брокеру надо удержать налог НДФЛ, который еще не уплачен
125|02.10.2018 16:18:24|Harry Lime|160 от номинала , гасится в 28м
127|02.10.2018 16:20:25|Alexander Kozhevnikov|я в апреле только в фонду вообще зашел 
131|02.10.2018 16:23:55|4joke|Лучше чем сейчас
132|02.10.2018 16:25:05|Harry Lime|На санкциях надо заходить в рус 28
133|02.10.2018 16:25:30|4joke|Если будут серьёзные
135|02.10.2018 16:25:57|Harry Lime|При долларе 65 отмена валютной переоценки точно пригодиться , до 28 года то.
139|02.10.2018 16:29:05|Siceo|хренасебе прайс на рус 28 
140|02.10.2018 16:34:45|Harry Lime|Столько народа , трясущегося за валютный депозит в госбанках можно пересадить на рус 28. Мечта сэйлза.
141|02.10.2018 16:36:18|Siceo|Что за зверь Alliance20 XS0925043100
142|02.10.2018 16:40:52|Harry Lime|Это валютный Нефтегазхолдинг, надо около 200 к usd и крепкие нервы.
143|02.10.2018 16:45:24|А что ты сделал для котэ!?|И угроза санкций за няшку Кима
144|02.10.2018 16:48:06|4joke|У бондовика курсы по облигациям за 10к
145|02.10.2018 16:48:57|Harry Lime|Там одного Худайнатова хватает , коллега советовал 19й альянс на внебирже , надо 55к usd доха около 20. И нервыканаты.
146|02.10.2018 16:51:47|Siceo|Зачем ктото покупает АгроКомп01
147|02.10.2018 16:52:05|Harry Lime|Мазохисты или коллекционеры
148|02.10.2018 16:52:32|Siceo|Неужели думают, что будет выплата
149|02.10.2018 16:53:34|Harry Lime|Нет , просто хотят ощутить эту боль ...
150|02.10.2018 16:55:06|Siceo|Знакомый КОБР13 купил зачемто.
151|02.10.2018 16:55:26|Moar|фигасе знакомый
152|02.10.2018 16:55:27|Harry Lime|А физик кстати может купить кобр
153|02.10.2018 16:55:38|Шура SiberianRanger|По идее нет
154|02.10.2018 16:56:04|Harry Lime|Значит ктото ...бол.
155|02.10.2018 16:56:27|Siceo|Вот балабол. 
156|02.10.2018 16:57:12|Шура SiberianRanger|Размещение и обращение облигаций осуществляется среди российских кредитных организаций. // КОБР
157|02.10.2018 16:57:56|Siceo|Хотя, он же финансист. ХЗ что они там покупают и как. Я не вникал.
158|02.10.2018 17:02:26|Denis Kozlov Septem|Может им бонусы Кобрами стали выдавать Помните в 90е з/п выдавали продукцией заводов
159|02.10.2018 17:02:46|Шура SiberianRanger|
160|02.10.2018 17:03:20|Siceo|Между прочим ляпнул.
161|02.10.2018 17:08:17|Alexander Kozhevnikov|даже если и купил... нафига
163|02.10.2018 17:12:30|Siceo|Ну так в банке работает. 
164|02.10.2018 17:18:23|Alexander Kozhevnikov|так вроде даже квалам КОБРы недоступны
166|02.10.2018 17:34:53|Карим|Какой isin
167|02.10.2018 17:37:07|Harry Lime|XS0088543193
168|02.10.2018 17:37:32|Карим|Спасибо
171|02.10.2018 17:56:00|Сергей Ковалев|кто чтр думает про эту компанию
172|02.10.2018 17:56:00|Сергей Ковалев|Новое размещение  1 выпуск СК Легион Ну что же, дорогие подписчики и сочуствующие, похоже, что мы наблюдаем за началом битвы лизинг  vs.  девелопмент в нашей песочнице. Еще одна девелоперская компания планирует провести размещение ВДО на Московской бирже. Знакомьтесь ООО СК Легион, город Челябинск . 8 октября сего года наш герой начинает размещение дебютного выпуска биржевых облигаций объемом 200 млн. руб. со сроком обращения три года. Сегодня была объявлена ставка 1го купона на уровне 14 годовых. В рублях, в рублях. Самое интересное в этом размещении  это организатор. Банк ФК Открытие . Мы сами в шоке. Госбанкамто это зачем  Единственным кредитором компании является АльфаБанк остаток кредита  571 млн. руб. по ставке 9,9 . На Сайте раскрытия информации эмитент уже выложил Инвестиционный меморандум. Там много интересного, советуем ознакомиться. Например, эмитент имеет дебиторскую задолженность физлиц перед ним в сумме 800млн. руб. А еще маржа EBITDA находится в диапазоне 4964. Зачем торговать наркотиками и оружием Надо строить в Челябинске  В общем, мы с нетерпением ждем.  Пост информационный. Редакция канала не несет отвественности за результаты инвестиций в данные ценные бумаги.
173|02.10.2018 18:28:12|Pavel|Извините что поздно, но КОБР только для КО. Сама цель КОБРов предполагает размещение и обращение только среди КО
178|03.10.2018 06:24:16|А что ты сделал для котэ!?|Для поднятия настроения 
179|03.10.2018 06:24:16|А что ты сделал для котэ!?| Скрин из MDampAсекции анализ состояния рынка и операций со стороны менеджмента публичной компании полугодового отчёта одного китайского строительного конгломерата, недавно гулявший по всем чатам аналитиков в ГК и Шанхае  даже для Китая это угар.
180|03.10.2018 07:03:55|Harry Lime|MDampA звучит подозрительно похоже на MDMA.
182|03.10.2018 08:02:22|Harry Lime|https//twitter.com/kissmyba/status/1047112888132022272
183|03.10.2018 08:02:36|Harry Lime|Куда пойти учиться...
184|03.10.2018 08:36:46|А что ты сделал для котэ!?|К вопросу о МКБ ... А чо у РН с краткосрочным долгом
