|time|user|text
1|28.02.2019 17:02:06|angry bonds|транспорт SSJ продали в Таиланд . Совершенно новой и никому особо не известной компании. В воздухе ощутимо запахло многоходовочкой по типу словенской . Посмотрим конечно, как всё в реальности обернется, но очень похоже.
3|01.03.2019 11:19:23|angry bonds|нефть В чём США нельзя отказать  так это в умении взбодрить инфополе. NonOPEC Act  это сильная задумка. Которая скорее всего приведет к краху нефтедолара а не ОПЕК. Тут весьма уместно будет вспомнить то как создавался картель. США в конце 1950х безраздельно доминировали на Ближнем Востоке американские комапнии закупали большую часть нефти на месте по твёрдым и весьма низким ценам порядка 1,92,0 доллара за баррель. Но в конце 1950х им показалось, что и эти цены слишком высоки и они решили их снизить до 1,8, а также ввести ограничение на импорт нефти в США какието объемы на рынок все же попадали В ответ и был создан ОПЕК, причем по инициативе Венесуэлы Первое время картель ничего особо сделать не мог и цены почти все 1960е годы были именно что 1,8 за баррель. Но затем наступили 1970е и ОПЕК отыгрался по полной. Сегодня ситуация для США не в пример сложнее чем в 1960е годы, но они тем не менее достали из пыльного чулана старые грабли и готовы на них опять поскакать. Хотя ответ на NonOPERC Act очерь прост и понятен  все расчеты за нефть у стран участниц картеля просто уходят из долларовой зоны. А с ними через какоето время и котировки. То есть WTI будет в долларах, а например Dubai  в чемто другом реалах, юанях, евро  не суть важно. Попутно еще обрушатся все связанные сделки  арабские инвестиции в трежеря и корпоративный сектор, покупка оружия и т.д. Так что вполне возможно перед нами кульминация фрагментации нефтяного рынка.
4|01.03.2019 12:23:33|angry bonds|В продолжение разговора о том, кто, куда и почему на нашем рынке инвестирует. Коллеги в чате подсказали сслыку на обзор НАУФОР загрузится файл на две странички. Как можно убедиться рублевых корпоративных облигаций у инвесторов вообще сейчас немного. Все сидят в еврооблигациях и валюте. А уж о ВДО и говорить нечего. Но честно сказать, я, в отличии от коллегорганизаторов, не особо переживаю на этот счет. Тихий омут ВДО мне лично подходит вполне. И вообще, меньше народа  больше кислорода, как говорится
5|01.03.2019 15:04:02|angry bonds|стройка , исследование Очевидное становится документированным . Рынок проседает, затем затоваривается и застройщики неизбежно начнут дохнуть пачками. Причем неизвестно ещё кто первый крупные или мелкие. При этом, занимать ни строящим и продающим жилую, ни покупающим и эксплуатирующим коммерческую недвижимость компаниям по большому счету кроме открытого рынка практически негде. Первым денег уже почти не дают, а вторым ещё дают, но все труднее. В этой связи резонно встаёт вопрос как быть интеллигентному человеку, купившему облигации компаний данного сектора Поскольку на вопрос в лоб вернёте деньги или нет всё равно ответ будет предсказуем, решили пойти на хитрость. Попросили эмитентов ответить на вопрос как вы планируете пережить ближайшие три года. То есть раскрыть свою стратегию а переходный период 20192021 гг. Как минимум двое уже точно согласились, поэтому я смело анонсирую выход нового исследования по стройке. В отличии от лизинга тут ежеквартально наверное не получится, поэтому более предпочтительно выглядит ежегодный формат. Поскольку эмитенты в данном случае всё делают сами, да и конфиденциальность никто не отменял, для нас также как и для вас пока что остаётся загадкой что из этого получится. Но надеюсь в марте мы успеем все подготовить прочитать и дать свои ехидные комментарии.
6|01.03.2019 19:46:37|angry bonds|стройка В продолжение предыдущего поста. Немного цифр для понимания масштаба проблемы. В данном случае по Москве, как крупнейшему рынку. На конец 2018 года в Москве было не продано 2,53 млн. кв.м. уже построенного жилья. Причем на экономсегмент в народе говнострой приходилось примерно 8590. Это в принципе много, но в 2017 году было еще больше  около 7 млн. кв.м. При этом застройщики в ажиотаже первой половины 2018 года взяли разрешений на строительство а ж на 17,7 млн. кв.м. против обычных 34х . То есть за этот и три следующих года мы имеем шанс получить объем предложения серьёзно превышающий то, что рынок плохобедно переваривал последние годы вместо 23 млн. кв.м., на которые есть платежеспособный спрос, в 20192022 годах на рынок ежегодно будет выходить примерно 45 млн. Что произойдет дальше, догадаться нетрудно. Непроданные остатки вырастут аккурат до 78 млн. кв.м. к 2021 году. А дальше еще интереснее. Развернется реновация. Цифры по ней дали коллеги  с 20232024 года будет вводиться по 5 млн. кв.м. Судя по всему того же самого  говностроя , по которому уже пошли суды с мэрией. В задаче спрашивается 1 Где при этом будут цены на недвижимость к 20212022 году, если в аналогичной ситуации в 2017 году они были на 1520 ниже , чем теперь я беру в рублях, чтобы не путаться. 2 Где при этом будут крупные застройщики, налепившие весь этот неликвид Да у нас есть палочкавыручалочка фонд реновации, купивший например у ПИКа 200 тыс кв.м. в 2018 году. В принципе, если Собянин договорится, ему возможно дадут денег выкупить и 10 млн. кв.м. Пусть стоит себе мёртвый город ждет ополоумевших покупателей. Которым кстати надо еще снизить ставку по ипотеке, а то иначе и 23 млн. кв.м. имеющегося спроса испарятся словно с белых яблонь дым. А ещё у этой истории есть мощные социальные последствия, которые тоже нельзя сбрасывать со счетов. Но даже если от этого абстрагироваться и предположить, что социальный протест купировали и урегулировали, все равно данная авантюра с экономической точки зрения шансов на успех, на мой взгляд, практически не имеет. Соотвественно, в стройке возникает парадоксальная ситуация  бояться надо не мелких застройщиков, или компаний строящих небольшие объемы элитки, а именно что монстров, завязанных на реновацию и прочие госпрограммы. Ибо тут вполне вероятна реализация сценария чем больше шкаф, тем громче падает.
8|02.03.2019 12:17:38|angry bonds|нефть коллеги обсуждают слова Алекперова , правда больше с политической точки зрения и схватки бульдогов. Но если говорить об отрасли в целом, нельзя не отметить правоту главы Лукойла. Для разумного развития ресурсной базы должен быть план, для освоения шельфа тоже, для импортозамешения  и подавно. Одним словом, нужна полноценная стратегия, причем не индикативная ни на что особо не влияющая бумажка от Минэнерго, а реально исполняемая и подкрепенная ресурсами. Роснефть же, полагая что она сама и есть отрасль пресловутое государство  это я при этом не удосужилась создать эту самую стратегию для всей отрасли. Поэтому, кстати сказать, и инвестиции в нефтяные бумаги для меня сегодня являются вопросом весьма спорным. Включая бумаги самой Роснефти. И даже не в большом долге дело, а в том, что никто не может предсказать, куда её понесет в следующий момент. То ли сожрать Лукойл, то ли осваивать шельф, то ли Восточную Сибирь, то ли опять закапывать бабки в Венесуэлу. Кстати пример PDSVA тут весьма показателен. На 70 её нынешнее плачевное состояние как раз и обусловлено отсуствием внятной стратегии, политическими инвестициями и чрезмерными изъятиями государства. Будем надеяться, что в нашем случае до такого не дойдёт, но как говорится, лучше все же стратегический план не скуривать.
9|02.03.2019 15:08:09|angry bonds| Государственный Банк Индии выпускает электоральные облигации 28 февраля правительство Индии объявило, что предоставило Государственному Банку Индии право разместить новые электоральные облигации. Эмиссия приурочена к выборам в парламент Индии, которые пройдут в апрелемае. Электоральные облигации были запущены в Индии в марте 2018 года как способ финансирования политических партий. Физ. или юр. лицо, зарегистрированное в Индии и прошедшее процедуру KYC, приобретает облигации у Государственного Банка Индии и анонимно передает их политической партии, которая при погашении бондов получает денежные средства от Государственного Банка Индии. Оплата облигаций покупателем возможна только через банк. Участвовать в программе финансирования могут лишь партии, получившие не менее 1 голосов на последних выборах. Облигации будут размещены тремя траншами 115 марта, 120 апреля, 615 мая. Срок обращения каждого транша  15 дней, если бумаги предоставляются политической партии после этого периода, то они не могут быть погашены. Выплата купона или номинала покупателю не предусмотрена, бумаги освобождены от налогообложения. Формат электоральных облигаций был введен с целью повышения прозрачности финансирования политических партий, которое обычно осуществлялось путем прямых денежных пожертвований.
10|02.03.2019 18:59:21|angry bonds|транспорт Ютейр теперь хотят обанкротить контрагенты . Правда не особенно всерьёз суммы небольшие. Более того, анонимный источник Интерфакса полагает, что таким образом строится эшелонированная оборона от настоящих кредиторов. Которые пока ждут финансовую модель, но когда дождутся могут и расстроиться. Всё это, конечно, не более чем домыслы, но символично то, что весенний сезон сериала Ютейр и кредиторы стартовал.
12|03.03.2019 14:50:53|angry bonds|По радио играл популярный мотив и както сложилось само собой Активы пропали Остались пассивы А я ухожу, Ухожу красиво 
14|04.03.2019 14:42:11|angry bonds|индекс_ВДО Итак, исполнилось 3 месяца с момента начала расчета нашего индекса ВДО . Широкий индекс за квартал вырс на 3,02
15|04.03.2019 15:13:59|angry bonds|транспорт ОХ причудливо тасуется колода. Траст он же Открытие специальный консолидирует ОВК , правда, не целенаправленно, а скажем так, поневоле. В ходе разборок с ОХ, Ещё у него есть кредит Ютейра. В общем дело идет к тому, что у Траста сложится едва ли не дефолтнотранспортный холдинг. Хотя как раз применительно к ОВК слово дефолный никоим образом не подходит. Но в целом идея богатая  очевидно прибыльные транспортные активы уже прибрали к рукам олигархи, а переферийные и однозначно провальные истории, чтобы не портить балансы, так или иначе отойдут Трасту.
17|05.03.2019 10:59:59|angry bonds|транспорт Новость про Домодедово для меня несколько неожиданная. Хотя компания традиционно закрытая, но казалось что у когокого, а у них то все должно быть в наилучшем виде. Ан нет. Не исключено, что причиной этого могла стать не слишком продуманная стройка, которая стала уже едва ли не перманентной. Года с 2004 тянется если мне не изменяет память. В общем на этом фоне могут снова пойти слухи о продаже. Ну или о IPO  Собственно про Домодедово если и сплетничают, то на одну из названных тем
18|05.03.2019 16:43:53|angry bonds|Журналисты Financial Times в своем редакционном блоге проводят просто мастеркласс по forensic financial modeling и фактически обвиняют Илона Маска в фальсификации финансовой отчетности но делают это так тонко и вежливо, что не подкопаться с юридической точки зрения. Если грубо  Маска обвиняют в том, что у компании нет тех денег, о которых она пишет в своей финансовой отчетности, причем разница между реальностью и отчетностью увеличивается, а реальный кэш стремительно движется к нулю. Сообщество шортистов в твиттере так называемые TSLAQ провели аналогичные расчеты еще несколько месяцев назад, но очень приятно видеть, что понимание того что финансовая отчетность Теслы  это еще большая небылица чем сказки братьев Гримм, начинает прорываться в мейнстримные финансовые СМИ. Насладитесь, это действительно красиво в плане того как должна выглядеть серьезная финансовая аналитика  https//ftalphaville.ft.com/2019/03/05/1551787633000/HowmuchdoesTeslahaveinthebank/ Если нет акка на FT, то главный вывод статьи можно посмотреть вот на этом графике  https//imgur.com/tUdWDoT Кстати, из последней цифры на графике там Q4 2018 нужно вычесть 920 миллионов долларов  погашение облигаций 1 марта. К уже существующим июньским опционам put со страйком 50 по Tesla, добавляю январские 2020 put с тем же страйком 50. Если не найдется какойнибудь безумный миллиардер или правительственный бэйлаут, который выкупит эту компанию, то тут явное банкротство  или Chapter 11 или Chapter 7, целевая цена акций  0. Маск в прошлом году признавал, что компания была в неделях от банкротства. Посмотрим повезет ли на этот раз. Это тот случай, когда игра стоит свеч.
19|05.03.2019 16:44:38|angry bonds|Не могу отказать себе в удовольствии . Глумление над Илоном Маском есть первейшая заповедь всякого трезвомыслящего инвестора
